S/N,Level,Type,Part No,Part Rev,Part Status,Latest,Nomenclature,Drawing Sheets,Instance ID,Instance ID 총수량(D/L DB),Instance ID 총수량(ALL DB),Qty,NextPart
1,0,SWBS,E7Z0002-001,-,Release,T,"FA-50M FINAL ASSEMBLY & SYSTEM OPERATION, VERSION POLAND",1,E7Z0002-001,,1.0,,
2,1,General,85N0056-001,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-001,,2.0,1.0,E7Z0002-001
9,1,General,85N0056-011,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-011,,4.0,1.0,E7Z0002-001
22,1,General,85N0056-021,-,Release,T,EXTERNAL MARKING ASSY,,85N0055-021,,3.0,1.0,E7Z0002-001
33,1,General,85S5300-451,A,Release,T,EQPT INSTL,,85S5300-101,,5.0,1.0,E7Z0002-001
37,1,General,85S5400-451,-,Release,T,SWITCH INSTL,,85S5400-101,,4.0,1.0,E7Z0002-001
40,1,General,85Z0014-001,-,Release,T,LOOSE EQUIPMENT,,85Z0004-041,,2.0,1.0,E7Z0002-001
42,1,SWBS,E7B0001-111,C,Release,T,FUSELAGE ASSY,1,E6B0001-211,,8.0,1.0,E7Z0002-001
42618,1,SWBS,E7R0002-001,-,Release,T,FA-50M Retrofit TOP,,,,,1.0,E7Z0002-001
42619,1,General,E7S7700-111,-,Release,T,"LAUNCHER, GUIDED MISSILE, AIRCRAFT, INSTL",1,E7S7700-111,,1.0,1.0,E7Z0002-001
42632,1,General,E7Z0026-111,-,Release,T,"LOOSE EQUIPMENT, FLY- FA-50M",1,E7Z0026-111,,1.0,1.0,E7Z0002-001
42676,1,SWBS,E7Z9994-101,-,Release,T,"MISSION EQUIPMENT PACKAGE, AIRBORNE COMMAND AND CONTROL SYSTEM",1,E7Z9994-101,,1.0,1.0,E7Z0002-001
3,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-001
4,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,2.0,85N0056-001
5,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-001
6,2,General,85N0056-035,-,Release,T,MARKING,,85N5001-035,,2.0,1.0,85N0056-001
7,2,General,85N0056-037,-,Release,T,MARKING,,85N5001-037,,2.0,1.0,85N0056-001
8,2,General,85N0056-039,-,Release,T,MARKING,,85N5001-039,,3.0,1.0,85N0056-001
10,2,General,85N0056-003,-,Release,T,MARKING,,85N5001-003,,3.0,2.0,85N0056-011
11,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-011
12,2,General,85N0056-007,-,Release,T,MARKING,,85N5001-007,,3.0,1.0,85N0056-011
13,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,1.0,85N0056-011
14,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-011
15,2,General,85N0056-017,-,Release,T,MARKING,,85N5001-017,,5.0,2.0,85N0056-011
16,2,General,85N0056-019,-,Release,T,MARKING,,85N5001-019,,3.0,1.0,85N0056-011
17,2,General,85N0056-023,-,Release,T,MARKING,,85N5001-023,,3.0,1.0,85N0056-011
18,2,General,85N0056-025,-,Release,T,MARKING,,85N5001-025,,3.0,1.0,85N0056-011
19,2,General,85N0056-027,-,Release,T,MARKING,,85N5001-027,,3.0,1.0,85N0056-011
20,2,General,85N0056-029,-,Release,T,MARKING,,85N5001-029,,3.0,1.0,85N0056-011
21,2,General,85N0056-033,-,Release,T,MARKING,,85N5001-033,,4.0,1.0,85N0056-011
23,2,General,85N0056-003,-,Release,T,MARKING,,85N5001-003,,3.0,2.0,85N0056-021
24,2,General,85N0056-005,-,Release,T,MARKING,,85N5001-005,,3.0,1.0,85N0056-021
25,2,General,85N0056-007,-,Release,T,MARKING,,85N5001-007,,3.0,1.0,85N0056-021
26,2,General,85N0056-009,-,Release,T,MARKING,,85N5001-009,,3.0,1.0,85N0056-021
27,2,General,85N0056-013,-,Release,T,MARKING,,85N5001-013,,3.0,1.0,85N0056-021
28,2,General,85N0056-015,-,Release,T,MARKING,,85N5001-015,,3.0,1.0,85N0056-021
29,2,General,85N0056-017,-,Release,T,MARKING,,85N5001-017,,5.0,1.0,85N0056-021
30,2,General,85N0056-023,-,Release,T,MARKING,,85N5001-023,,3.0,1.0,85N0056-021
31,2,General,85N0056-025,-,Release,T,MARKING,,85N5001-025,,3.0,1.0,85N0056-021
32,2,General,85N0056-029,-,Release,T,MARKING,,85N5001-029,,3.0,1.0,85N0056-021
34,2,Commercial,85VS000190-303,F,Release,T,CONTROL UNIT - GUN,1,85VS000190-003,,8.0,1.0,85S5300-451
35,2,Standard,NAS1149D0332K,-,Release,T,WASHER,,,,,4.0,85S5300-451
36,2,Standard,NAS6603-3,-,Release,T,BOLT,,,,,4.0,85S5300-451
38,2,Standard,85TV1084-3-5,-,Release,T,SWITCH,,,,,1.0,85S5400-451
39,2,Material,MS20995C32.-.W,-,Release,T,LOCKWIRE,,,,,9999.0,85S5400-451
41,2,Commercial,85VK000113-013,-,Release,T,APRON RESTRAINT ASSY,,85VK000113-003,,2.0,1.0,85Z0014-001
43,2,General,85B6172-151,A,Release,T,LINK INSTL,,85B6111-101,,4.0,1.0,E7B0001-111
53,2,General,85B6660-151,-,Release,T,FAIRING INSTL,,85B6660-101,,5.0,1.0,E7B0001-111
147,2,General,85E1214-401,A,Release,T,EQUIP INSTL,,85E1214-201,,2.0,1.0,E7B0001-111
157,2,General,85E1215-201,B,Release,T,EQUIP INSTL,,85E1215-101,,11.0,1.0,E7B0001-111
165,2,General,85E1300-601,A,Release,T,INSTL,1,85E1300-601,,2.0,1.0,E7B0001-111
171,2,General,85E1314-201,D,Release,T,EQUIP INSTL,,85E1315-101,,21.0,1.0,E7B0001-111
178,2,General,85E1500-201,A,Release,T,EQUIP INSTL,,85E1500-101,,5.0,1.0,E7B0001-111
187,2,General,85E1700-611,A,Release,T,INSTL,3,85E1700-611,,2.0,1.0,E7B0001-111
198,2,General,85E1710-601,B,Release,T,"SELECTOR, ANTENNA, INSTL",1,85E1710-601,,3.0,1.0,E7B0001-111
203,2,General,85E1715-201,B,Release,T,EQUIP INSTL,,85E1715-101,,4.0,1.0,E7B0001-111
210,2,General,85E5100-201,B,Release,T,EQUIP INSTL,,85E5100-101,,11.0,1.0,E7B0001-111
218,2,General,85E5110-201,A,Release,T,EQUIP INSTL,,85E5100-101,,11.0,1.0,E7B0001-111
229,2,General,85E6000-601,A,Release,T,"STATIC DISCHARGER,INSTL",1,85E6000-601,,2.0,1.0,E7B0001-111
238,2,General,85E6300-201,A,Release,T,EQUIP INSTL,,85E6300-101,,5.0,1.0,E7B0001-111
246,2,General,85E6400-201,A,Release,T,EQUIPMENT INSTL,,85E6400-101,,4.0,1.0,E7B0001-111
252,2,General,85L6100-601,-,Release,T,TAIL HOOK INSTALLATION,1,85L6100-601,,1.0,1.0,E7B0001-111
